Rank,Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Channel name
169,39daph,765335205,128070,20773,5975,1152851,151741,TRUE,FALSE,English,39daph
170,kimdoe,764560155,139695,13938,5473,319169,6801,TRUE,TRUE,Korean,김도 (kimdoe)
171,pokelawls,764107215,118905,24394,6426,1047512,93976,TRUE,TRUE,English,pokelawls
172,dota2ti,761615970,4500,375534,169247,1139910,106159,TRUE,FALSE,English,dota2ti
173,gerardromero,757210020,130980,146872,5781,355947,311846,TRUE,FALSE,Spanish,gerardromero
174,Locklear,753139530,101610,58905,7412,1929870,311519,TRUE,FALSE,French,Locklear
175,TheRealKnossi,752797860,43050,86944,17486,2133945,313116,TRUE,TRUE,German,TheRealKnossi
176,RanbooLive,748768290,23910,159305,31316,4442558,401967,TRUE,FALSE,English,RanbooLive
177,SPYGEA,748081020,117735,60772,6353,554402,96954,TRUE,FALSE,Japanese,SPYGEA
178,BarbarousKing,742047240,226095,25243,3282,189820,17989,TRUE,TRUE,English,BarbarousKing
179,Baiano,736131480,97680,75123,7536,796529,48710,TRUE,TRUE,Portuguese,Baiano
180,sasatikk,730241775,169815,41391,4300,163681,88377,TRUE,FALSE,Japanese,sasatikk
181,rivers_gg,726105000,70095,67309,10358,2209354,2045066,TRUE,FALSE,Spanish,rivers_gg
182,Caedrel,722748825,97290,40670,7428,393152,130601,TRUE,FALSE,English,Caedrel
183,Kyedae,719180985,69315,107583,10375,2013130,873284,TRUE,FALSE,English,Kyedae
184,HisWattson,719085000,167460,21393,4294,443260,419348,TRUE,FALSE,English,HisWattson
185,ShivFPS,715148565,124965,23228,5722,1457235,267313,TRUE,FALSE,English,ShivFPS
186,Swagg,706474935,75405,32610,9369,2123476,188106,TRUE,FALSE,English,Swagg
187,QuickyBaby,700181730,136875,17592,5115,529474,57736,TRUE,FALSE,English,QuickyBaby
188,Topsonous,697472115,65205,21715,10696,504021,269647,TRUE,TRUE,English,Topsonous
189,Otzdarva,695999805,101055,35420,6887,855299,179183,TRUE,FALSE,English,Otzdarva
190,TeePee,694070760,159015,19506,4364,930779,162133,TRUE,TRUE,English,TeePee
191,ZanoXVII,692615865,79875,141840,8671,1614624,269825,TRUE,FALSE,Italian,ZanoXVII
192,ybicanoooobov,687764085,124155,12961,5539,639296,38729,TRUE,FALSE,Russian,ybicanoooobov
193,LLA,680730240,36015,187411,18901,600103,119168,TRUE,FALSE,Spanish,LLA
194,mobilmobil,677725140,113535,13182,5969,520775,33531,TRUE,TRUE,Chinese,老皮 (mobilmobil)
195,fuslie,674487840,59145,55550,11403,1223741,158946,TRUE,FALSE,English,fuslie
196,WestCOL,674461485,44400,145907,15190,1053221,709430,TRUE,FALSE,Spanish,WestCOL
197,Chess,673093845,88725,52335,7586,853589,96481,TRUE,FALSE,English,Chess
198,mistermv,672114120,75315,70183,8924,826658,80629,TRUE,FALSE,French,mistermv
199,Shylily,668902605,137565,26223,4862,966553,940660,TRUE,FALSE,English,Shylily
200,Tectone,668573085,158340,70191,4222,810167,167549,TRUE,FALSE,English,Tectone
201,lestream,664587915,236340,29119,2811,1001003,18109,TRUE,FALSE,French,lestream
202,Brawlhalla,661514595,33345,53340,19838,1802114,325271,TRUE,FALSE,English,Brawlhalla
203,daltoosh,661145835,116730,30181,5663,737954,190034,TRUE,FALSE,English,daltoosh
204,AussieAntics,660252450,176325,39886,3744,887213,249992,TRUE,FALSE,English,AussieAntics
205,ChilledChaos,658347075,101910,11752,6460,427940,48386,TRUE,FALSE,English,ChilledChaos
206,dda_ju,658228605,122490,45571,5373,354287,66308,TRUE,FALSE,Korean,다주 (dda_ju)
207,TFBlade,657814695,144060,20088,4566,1218149,73204,TRUE,FALSE,English,TFBlade
208,NickEh30,657280995,110910,40425,5926,4227541,858690,TRUE,FALSE,English,NickEh30
209,mch_AGG,656926650,476130,53923,1379,590994,165417,TRUE,FALSE,Portuguese,mch_AGG
210,alexelcapo,655636890,71595,86940,9157,1023898,130027,TRUE,FALSE,Spanish,alexelcapo
211,RATIRL,652073805,113190,19904,5760,775912,120823,TRUE,TRUE,English,RATIRL
212,qojqva,651918570,148320,11973,4395,195502,101813,TRUE,FALSE,English,qojqva
213,HusKerrs,651290070,147720,29513,4408,1086319,153426,TRUE,FALSE,English,HusKerrs
214,nokduro,647629755,129360,15582,5006,269081,26381,TRUE,FALSE,Korean,녹두로 (nokduro)
215,IJenz,637991100,513150,5367,1243,722452,537846,TRUE,FALSE,Spanish,IJenz
216,RduLIVE,637746750,156465,10224,4075,301256,18683,TRUE,FALSE,English,RduLIVE
217,Evelone192,637619280,22575,153742,28244,2265498,599265,FALSE,FALSE,Russian,Evelone192
218,Jerma985,637134255,40275,50444,15819,1169369,420131,TRUE,TRUE,English,Jerma985
219,btssmash,634327695,342480,75003,1852,390755,84319,TRUE,FALSE,English,btssmash
220,raderaderader,633169305,72225,39821,8766,385782,125328,TRUE,FALSE,Japanese,らっだぁ (raderaderader)
